2.3946-0.59612i
1.5506+0.31781i
2.1981-0.65078i
1.306+1.0762i
0.92415+0.20593i
1.2337+0.52412i
0.90569-0.41582i
1.4163+0.321i
1.7069+0.23672i
0.18307+0.96857i
0.28908+0.28286i
0.43001+0.27443i
0.30205+0.41848i
0.3918+1.1879i
0.35264+0.2387i
0.29413+1.7987i
0.42497+1.1203i
0.24091+1.0438i
0.3724-0.051504i
0.7232+1.0064i
0.71439-0.35297i
-0.32405-0.38407i
-0.060657-0.76897i
0.54237+0.26402i
-0.36673+0.96039i
-0.023812+0.341i
0.52609-0.22644i
-0.68978-0.7929i
0.50954+1.0567i
-0.77645+0.73404i
-0.91181+1.5572i
0.056062+0.69585i
0.75583+0.85346i
0.26597-0.44287i
0.88539+0.31928i
-0.63897-1.3127i
0.17468-0.34828i
-2.1892-0.12262i
-1.6269+0.0044051i
0.17774+0.77978i
-0.94978-0.39966i
-1.5579-0.15037i
-1.2241-0.70326i
-1.0968-0.6042i
-1.0474+0.028878i
-0.76524-2.3263i
0.4166+0.36616i
-1.9239-0.17395i
-0.93089+0.79178i
-1.2494+0.56021i
-2.1849-0.4106i
-1.9469-0.13745i
-0.52591+0.36395i
-2.7022-1.1089i
-2.0748-0.85646i
-1.5416-0.93698i
-1.6869-0.26661i
-1.8347+0.50379i
-1.5492-1.4718i
-1.9438-1.3031i
-3.4038+1.3557i
-2.4263-1.6183i
-2.1695-0.55828i
-2.0886-0.97869i
-2.0073-2.2009i
-2.3447-1.3972i
-1.9453-0.48512i
-1.0658-3.6303i
-2.2031-0.83023i
-1.6996-0.43712i
-1.0821-1.8989i
-2.693-0.50421i
-2.6238-1.819i
-3.4153-0.97946i
-2.2695-1.1861i
-1.4305-0.67794i
-2.5566-0.87556i
-1.9791-2.3902i
-2.6404-1.5494i
-1.9992-1.4714i
-2.3254-2.3906i
-1.9241+0.065054i
-1.8406-0.86233i
-3.0235-2.6936i
-2.5984-1.2458i
-1.6301-0.11154i
-1.8535-1.6141i
-2.6228-0.81826i
-2.704-1.7514i
-2.5621-0.98405i
-2.7853-1.6567i
-2.3924-0.6672i
-1.1919-1.2756i
-3.8086-1.5157i
-3.2045-0.58027i
-2.3434-1.352i
-3.2433-2.0355i
-2.1525-2.0408i
-2.0876-2.9405i
-1.6465-0.054724i
-3.6659-0.54077i
-0.64109-1.0532i
-2.3784-1.0115i
-2.2782-1.907i
-3.239-2.6662i
-2.823-2.2725i
-1.5446-2.6591i
-2.661-0.88072i
-2.8861-2.5668i
-3.3492-1.3838i
-0.62421-1.1652i
-1.5852-0.67415i
-2.657-2.0395i
-0.18746-2.3017i
-1.9612-1.5403i
-1.6388-0.4903i
-2.3075-0.28805i
-1.7573-1.5378i
-0.55304-1.5964i
-0.75893-1.4859i
-2.7688+0.75271i
-1.9734-1.7868i
-0.08662-2.1103i
-0.6157-1.2376i
-0.69977-1.2536i
-1.4421-0.46462i
-1.4946-0.20157i
-1.2369-1.3833i
-0.89213-0.6356i
-1.6873-0.51674i
-2.1222-0.45828i
-0.71129-0.48539i
-1.8218-0.13621i
-0.72093-0.21935i
-2.3243+0.3814i
-1.9587-1.4849i
-1.1573-1.7304i
-1.7775-0.58714i
-1.5414-1.3691i
-0.49189-0.67261i
-0.40484+0.57055i
-0.71732+0.5382i
-1.4508-1.1086i
-0.19814+0.35453i
-1.0866-0.66573i
-1.1208-0.32141i
-1.7238-0.64787i
-0.2845-0.4957i
-1.4671+0.46119i
-2.3726-0.10064i
0.16509-1.1495i
-1.6566+0.66784i
-0.29209+0.85488i
-0.62396+0.76565i
-0.21378-0.68802i
-1.0163+0.86208i
-0.58805+0.86455i
-1.2212-0.17808i
-0.076495+1.1889i
-0.70744+0.69734i
-0.55845+1.7215i
-1.7548+0.27618i
0.3953+0.94083i
-1.2647+0.029894i
-1.8495+1.0389i
-2.0725+0.60306i
0.78356+1.2489i
-1.1287+0.87631i
0.10576+1.4553i
-0.96133+1.3377i
-1.8292-0.17059i
-2.1374+0.83074i
-1.7296+1.3611i
-0.45038+0.19507i
-1.3252+0.98553i
-1.4061+1.8063i
-0.61981+0.52462i
-0.83759+1.6351i
-0.36311+0.45662i
-1.0381+2.2237i
-0.68466+1.431i
0.85149+0.93753i
-0.44793+2.1301i
1.0265+2.0108i
0.8836+2.7141i
-0.46512+1.6956i
0.75447+1.2096i
-0.3258+1.0215i
-0.026642+1.5174i
1.0649+0.70624i
-0.025405+2.4073i
0.1136+1.908i
-0.24215+2.02i
1.4374+1.938i
-0.3864+2.5537i
0.78999+0.80711i
0.011317+1.7923i
0.33169+2.0357i
0.26725+1.2098i
0.3705+3.2606i
-2.7211+1.408i
0.20425+3.2734i
-0.39087+2.1295i
0.9566+2.3497i
-0.7557+1.9596i
1.4398+2.1338i
0.35832+1.9454i
0.32995+4.1682i
0.84302+2.5007i
-0.48098+1.8928i
-2.2851+1.4277i
-1.1433+2.1193i
-2.0687+2.2584i
-1.1799+1.7742i
-2.5599+2.1781i
-2.2205+2.0523i
-1.8647+1.7051i
-1.818+2.0884i
-1.56+1.5971i
-1.9781+2.43i
-1.6456+2.2646i
-1.2275+2.0951i
-2.6185+2.5881i
-1.577+1.435i
-1.9928+1.5973i
-2.3357+1.6939i
-3.5141+1.9951i
-1.5892+2.4797i
-2.6063+0.69262i
-2.2835+2.726i
-1.6369+1.2803i
-3.2277+2.1056i
-1.8763+1.2699i
-0.85856+2.04i
-1.3715+0.16545i
-0.621+0.94655i
-1.5821+1.2566i
-2.1698+0.84621i
