-1.3667+1.5524i
-2.4746+2.2124i
-2.0964+2.1975i
-1.8391+0.97267i
-2.4722+2.0584i
-1.5416+2.5352i
-2.2142+1.8792i
-1.2707+1.3433i
-1.9715+0.9642i
-2.2375+2.361i
-1.7403+2.9774i
-3.5716+1.7879i
-2.5043+2.1916i
-1.5345+2.2465i
-2.2365+3.1075i
-2.5353+1.1978i
-0.95062+1.3571i
-1.8722+2.3337i
-2.8512+3.7275i
-1.3674+1.8084i
-1.9879+3.8427i
-2.0651+1.3718i
-3.0307+2.5721i
-1.8732+3.1063i
-1.64+3.1786i
-1.5608+2.966i
-1.5296+2.2558i
-1.8157+4.2209i
-1.8163+2.7355i
-0.9101+4.3215i
-1.4381+2.6421i
-3.069+3.8074i
-1.8911+2.1012i
-2.7777+3.4482i
-1.6103+3.7805i
-2.0745+3.4035i
-1.2525+3.7923i
-1.5513+2.6888i
-1.3278+1.8786i
-3.4034+4.5036i
-3.5415+2.8064i
-1.3765+4.342i
-1.7079+2.8347i
-2.7704+2.8886i
-2.1496+2.5916i
-1.8891+3.7916i
-0.95552+3.664i
-2.3819+3.5139i
-3.5792+3.7677i
-3.0292+3.7075i
-1.6767+2.7812i
-1.5764+3.643i
-2.1654+3.318i
-1.3326+2.2284i
-1.7313+3.1006i
-2.2802+2.4117i
-1.7885+4.0795i
-1.2489+1.8781i
-2.4308+3.997i
-1.5155+1.9394i
-1.6325+2.4782i
-1.82+3.0932i
-2.8554+3.3025i
-2.6685+2.9897i
-0.6842+2.8862i
-0.86469+1.8964i
-1.8667+3.3685i
-1.9073+3.5303i
-1.8966+3.3298i
-1.7377+1.7622i
-1.7608+3.3295i
-0.62312+2.7044i
-1.5546+3.8729i
-0.82764+1.9838i
-1.5314+4.1273i
-1.4618+2.518i
-0.85349+2.1422i
-1.1768+1.8058i
-1.9307+1.7182i
-1.0177+2.3646i
-1.4934+0.96265i
-0.94437+1.5944i
-1.6823+3.0318i
-2.5789+1.7588i
-1.5863+1.9521i
-0.36101+1.7975i
-0.9714+0.77718i
-1.3758+2.9287i
-0.67006+1.4602i
-0.47017+2.3702i
-1.7847+2.3249i
-0.15506+2.4245i
-0.45407+2.1455i
-1.4191-0.080397i
-0.38847+3.3531i
-0.30383+1.7359i
-0.72179+1.1544i
-0.69779+1.991i
-0.56322+0.50373i
0.6604-0.24012i
-0.19702+1.4003i
-0.30821+0.49487i
0.38561+0.14835i
-0.53806+1.4416i
-0.35974-0.34339i
-0.10052+0.7313i
0.1523+0.4471i
-1.3775-1.5792i
0.45108-0.366i
0.41853-0.036046i
-0.94271-0.33697i
0.63446-1.2498i
-0.78724-0.016085i
-0.33202-1.0187i
-0.1788-0.97677i
-0.27712-1.645i
-0.43354-1.8822i
-1.0218-0.88082i
0.6601-2.3681i
0.8477-0.23665i
-0.31662-2.4181i
1.691-0.68221i
0.26069-1.8702i
0.68939-2.7515i
-0.5527-0.58395i
0.57192-1.3944i
0.17391-1.3007i
-0.21292-1.8476i
0.58247-1.0054i
0.83261-1.3493i
0.8421-1.0551i
0.49135-1.1905i
-0.38481-1.6115i
0.078949-1.5042i
-0.13961-4.171i
-0.49123-3.4457i
0.92366-2.8943i
-0.69401-2.3186i
0.61563-1.5724i
-0.78366-2.6569i
-0.42644-2.9586i
0.10043-2.6545i
0.70638-4.2457i
0.81228-3.1707i
0.10383-3.9016i
-0.039518-2.6608i
-1.3439-4.7316i
-0.36747-4.1066i
0.36425-3.8586i
0.51946-2.8934i
