-0.64466-0.31644i
-0.69893+0.17058i
-0.089865+0.055396i
-0.85459-0.86281i
0.22322-0.86523i
-0.66711-1.1979i
-1.2515+0.26311i
-1.8518-0.011864i
-0.70526-0.79584i
-1.2882-0.15032i
-0.60387-0.038965i
0.48243-0.4362i
-0.39956+0.54505i
-1.2083+0.45599i
-0.70899-0.080996i
-1.5886+0.34674i
-1.4014+0.48265i
-1.5291-0.11693i
-0.12722+1.4167i
-0.54824-1.486i
-2.0804+1.2272i
-0.73381-1.2252i
-1.3994+1.4431i
-1.6235-0.52322i
-3.0054+0.44668i
-2.0106-0.19736i
-1.0349+0.51925i
-2.309+0.39199i
-3.4285-1.3i
-1.0324+0.42368i
-1.573-0.28435i
-2.1287-1.342i
-2.6526+0.55013i
-2.8677-0.082969i
-1.8897+0.086514i
-0.75068+0.017931i
-1.4429+1.7321i
-2.7284-0.54752i
-1.7562+0.93121i
-2.5953+0.62944i
-0.85024+0.89401i
-1.6991+0.59761i
-2.1638+0.31923i
-2.8672+0.89975i
-1.9459+1.2002i
-3.0636+0.52196i
-3.6934+0.38482i
-1.5605+0.10201i
-3.3411+1.4606i
-2.7228+1.0861i
-2.6104+0.18633i
-2.9515+1.1915i
-2.1863-0.67889i
-1.7594+1.1815i
-2.551-0.53473i
-3.3294+0.23574i
-1.9303+1.2219i
-2.9343+1.0756i
-3.1523+0.084351i
-2.0284+1.8723i
-3.391+1.0365i
-4.5707+0.83914i
-2.7866+1.8502i
-1.933+0.50854i
-3.6185+0.16204i
-1.8766+0.61498i
-2.3136+1.6757i
-3.2855+1.4964i
-4.4884+0.18175i
-2.0394+0.26759i
-4.067-0.63446i
-2.3311-0.034208i
-3.4396-0.018201i
-2.7639+1.0167i
-2.0583-1.3785i
-3.7562-0.98247i
-1.717+0.32591i
-2.8948+0.1756i
-2.3866+0.62012i
-2.4758-0.13637i
-3.7173-0.84642i
-2.456-0.3465i
-3.1743-1.3004i
-4.1145-0.52797i
-2.601-0.023671i
-2.8927-1.4827i
-2.6843-0.34124i
-3.1456-0.55329i
-2.0885-0.10422i
-2.1949-0.67995i
-1.0559-0.0090269i
-2.9489-0.72758i
-2.1158+1.225i
-2.8059-0.82115i
-2.2117+0.95392i
-1.5034-0.35777i
-3.6113-0.42793i
-2.8652-2.5015i
-3.0291-1.6726i
-2.2001-0.76259i
-1.6003-0.12377i
-1.852-1.0165i
-2.2564-1.0814i
-3.4964-1.0821i
-2.5308-1.338i
-1.7887-2.119i
-2.8153-1.2091i
-1.9801-2.3671i
-2.4115-1.0547i
-1.943-1.3052i
-2.3288-0.70662i
-1.6622-0.29137i
-1.9648-2.2208i
-1.4416-1.9421i
-2.1435-2.2724i
-2.2144-2.3193i
-2.5781-1.1335i
-1.1167-0.3515i
-2.0036-1.79i
-1.6698-1.3508i
-1.1196-2.3569i
-1.3545-0.75739i
-0.94201-2.1948i
-1.8191-1.973i
-1.8896-3.1089i
-1.1213-0.37413i
-0.70831-2.3215i
-0.85105-2.3521i
-1.0587-2.8731i
-1.1882-0.26473i
0.5243-1.2821i
-0.81671-1.9332i
-0.12557-2.5976i
-0.98074-2.3027i
-1.2955-2.8846i
-0.67284-2.0897i
-0.18788-1.3903i
0.50844-1.7927i
0.48117-1.4123i
-0.63991-2.5496i
-0.96911-1.7388i
0.38153-0.89949i
0.78487-2.1459i
0.72069-2.5162i
0.28949-2.1573i
1.1474-2.5901i
0.43596-1.9791i
0.74355-2.3977i
-0.2949-3.1983i
0.94446-2.245i
0.63699-1.4327i
-0.57662-2.1035i
0.65637-2.5276i
0.69384-2.4825i
1.2375-3.4877i
-0.37019-2.5717i
1.1024-2.8097i
0.023846-3.1976i
-0.058947-1.9788i
0.53518-2.2248i
2.1531-3.0796i
0.11852-1.127i
1.4705-2.9388i
2.5994-1.6215i
-0.041726-2.3359i
1.3017-3.0073i
0.0067849-2.5004i
2.1943-2.6119i
1.6917-2.1819i
0.28694-2.5289i
1.8219-2.267i
1.7285-2.6582i
0.29207-1.4758i
0.78747-3.0794i
2.3086-2.6226i
0.91618-2.7523i
1.7623-1.869i
2.085-2.2846i
0.59235-3.0103i
1.9787-1.338i
2.5443-2.0833i
1.8443-1.8312i
2.935-3.1328i
1.418-2.5274i
2.2394-2.232i
3.0724-1.1833i
1.7864-2.6434i
2.2982-2.5945i
2.4161-1.4511i
2.3353-1.2843i
3.0335-2.1851i
1.4624-2.9813i
2.74-2.9407i
0.99922-2.1523i
0.9656-2.5143i
1.5097-1.8108i
2.4482-1.441i
2.0917-1.3362i
1.8137-2.7542i
1.3852-2.2176i
1.4371-1.168i
2.5269-2.309i
2.9738-1.7607i
0.464-2.5525i
1.2913-1.6773i
1.3325-0.69029i
1.8384-2.3361i
1.9706-1.0083i
2.7128-2.5141i
0.97643-2.0376i
1.2906-0.92895i
0.32882-2.836i
2.4741-1.3844i
2.7086-3.4516i
2.2527-0.60968i
1.1834-1.5553i
0.066308+0.058071i
2.4863-0.64085i
0.41832-0.32057i
0.38674-0.94736i
1.0129-0.13645i
1.6326-1.6796i
0.53727-1.2201i
0.67879-0.85201i
-0.29212-0.64644i
1.5653-1.1521i
1.3044-0.8335i
-0.098974-1.6896i
0.64015-1.4736i
-0.41617-0.1984i
-0.59624-0.67465i
0.041986-0.57304i
-0.3312+0.28621i
-0.59752-1.8432i
0.22047+0.83507i
0.22625-1.9047i
-0.38794-0.07293i
0.46042-0.84616i
0.41352-0.96478i
0.87032-0.65516i
0.87724-0.87096i
1.7476+0.24613i
-1.0798-0.53586i
0.66459-1.302i
-0.31135-1.0891i
-0.59389-0.88802i
0.22453-0.60987i
1.4857-2.7454i
0.26519-0.28292i
-0.12572+0.29471i
0.60751-0.57424i
1.1785-0.4703i
0.17611+0.12913i
-0.68721+0.36045i
0.64026-0.12048i
0.70453-0.24771i
1.3777-0.56926i
-0.99776+2.1404i
-0.42332-1.2035i
0.68453-0.82866i
-0.35413-0.49835i
-0.77268+0.42538i
1.2345+0.70754i
-0.11666+0.45156i
-0.15663-0.034426i
-0.98534-1.098i
-0.17864+0.63197i
0.87571-0.43182i
-0.66528+0.55585i
-1.5233+0.84562i
-1.3054+0.53435i
-0.80963-0.086111i
-1.2554-0.93154i
-0.74622-0.50506i
-2.2095+0.49358i
-0.85938+0.35392i
-1.7534+1.4321i
-1.0774+0.9091i
-1.2582+0.059953i
-1.9594+0.036074i
-2.6435+1.0963i
-1.8586+0.87482i
-3.2916-0.096029i
-2.4943-1.5143i
-3.2987-0.94222i
-2.0975-0.88714i
-4.2578-0.28608i
-3.3936+0.70975i
-3.5505+0.19248i
-3.1384+0.00011643i
-3.1947+0.54704i
-2.8045-0.23806i
-2.4349-0.064053i
-2.3658+0.48112i
-3.6528+0.19537i
-0.68994+0.31608i
-3.4394-1.2554i
-2.4931-0.75276i
-2.61-0.67102i
-2.8931+1.4568i
-2.9708-0.85218i
-1.6987-0.17646i
-2.0852+0.81338i
-2.8906+0.90163i
-1.4802+0.40164i
-2.4831+0.75945i
-0.81617-0.96012i
-0.8458-1.0647i
-1.5518-0.66702i
-2.9687+0.81575i
-3.2662-0.11395i
-1.9599-0.25598i
-2.1366-0.22113i
-2.1921-0.1856i
-2.716-0.49219i
-0.80366-0.049839i
-1.1117-0.58048i
-0.44588-0.35902i
-1.7722-1.6173i
-1.4195-0.44057i
-2.0851-0.76722i
-0.39968+0.099416i
-0.0059475-0.65046i
-0.7418-0.64596i
-0.63675-0.015262i
-1.2812-0.6043i
-1.541-0.65188i
-2.1578-0.96334i
-1.1954-1.5141i
-2.045-2.7706i
-2.6983-1.5773i
-2.8312-1.5028i
-2.5693-0.96524i
-2.6978-0.60345i
-2.0573-0.41861i
-2.5468-0.35477i
-2.1092-1.4845i
-2.922-0.38878i
-2.8549-1.9408i
-0.93211-1.7481i
-1.9966-2.3633i
-2.4659-1.3153i
-2.7413-2.8986i
-3.6507-1.7752i
-2.1944-0.89064i
-2.442-0.83973i
-1.342-1.1324i
-3.2333-1.5339i
-2.9078-1.3263i
-2.6655-2.3683i
