sigCmpx1[76].imag, 0xFFE9,
sigCmpx1[77].real, 0xFFF3,
sigCmpx1[77].imag, 0xFFD4,
sigCmpx1[78].real, 0xFFEA,
sigCmpx1[78].imag, 0xFFEA,
sigCmpx1[79].real, 0xFFF2,
sigCmpx1[79].imag, 0xFFD6,
sigCmpx1[80].real, 0xFFEA,
sigCmpx1[80].imag, 0xFFEA,
sigCmpx1[81].real, 0xFFF2,
sigCmpx1[81].imag, 0xFFD8,
sigCmpx1[82].real, 0xFFEA,
sigCmpx1[82].imag, 0xFFEB,
sigCmpx1[83].real, 0xFFF2,
sigCmpx1[83].imag, 0xFFD8,
sigCmpx1[84].real, 0xFFEC,
sigCmpx1[84].imag, 0xFFEC,
sigCmpx1[85].real, 0xFFF2,
sigCmpx1[85].imag, 0xFFDA,
sigCmpx1[86].real, 0xFFEC,
sigCmpx1[86].imag, 0xFFED,
sigCmpx1[87].real, 0xFFF1,
sigCmpx1[87].imag, 0xFFDC,
sigCmpx1[88].real, 0xFFEC,
sigCmpx1[88].imag, 0xFFEE,
sigCmpx1[89].real, 0xFFF1,
sigCmpx1[89].imag, 0xFFDD,
sigCmpx1[90].real, 0xFFEC,
sigCmpx1[90].imag, 0xFFEE,
sigCmpx1[91].real, 0xFFF0,
sigCmpx1[91].imag, 0xFFDD,
sigCmpx1[92].real, 0xFFEC,
sigCmpx1[92].imag, 0xFFEE,
sigCmpx1[93].real, 0xFFF0,
sigCmpx1[93].imag, 0xFFDF,
sigCmpx1[94].real, 0xFFED,
sigCmpx1[94].imag, 0xFFEF,
sigCmpx1[95].real, 0xFFF0,
sigCmpx1[95].imag, 0xFFE0,
sigCmpx1[96].real, 0xFFEE,
sigCmpx1[96].imag, 0xFFEF,
sigCmpx1[97].real, 0xFFF0,
sigCmpx1[97].imag, 0xFFE0,
sigCmpx1[98].real, 0xFFEE,
sigCmpx1[98].imag, 0xFFF0,
sigCmpx1[99].real, 0xFFF0,
sigCmpx1[99].imag, 0xFFE1,
sigCmpx1[100].real, 0xFFEE,
sigCmpx1[100].imag, 0xFFF0,
sigCmpx1[101].real, 0xFFF0,
sigCmpx1[101].imag, 0xFFE2,
sigCmpx1[102].real, 0xFFEE,
sigCmpx1[102].imag, 0xFFF0,
sigCmpx1[103].real, 0xFFF0,
sigCmpx1[103].imag, 0xFFE3,
sigCmpx1[104].real, 0xFFEE,
sigCmpx1[104].imag, 0xFFF0,
sigCmpx1[105].real, 0xFFF0,
sigCmpx1[105].imag, 0xFFE4,
sigCmpx1[106].real, 0xFFEE,
sigCmpx1[106].imag, 0xFFF2,
sigCmpx1[107].real, 0xFFF0,
sigCmpx1[107].imag, 0xFFE4,
sigCmpx1[108].real, 0xFFF0,
sigCmpx1[108].imag, 0xFFF2,
sigCmpx1[109].real, 0xFFF0,
sigCmpx1[109].imag, 0xFFE5,
sigCmpx1[110].real, 0xFFEF,
sigCmpx1[110].imag, 0xFFF2,
sigCmpx1[111].real, 0xFFF0,
sigCmpx1[111].imag, 0xFFE6,
sigCmpx1[112].real, 0xFFEF,
sigCmpx1[112].imag, 0xFFF3,
sigCmpx1[113].real, 0xFFF0,
sigCmpx1[113].imag, 0xFFE6,
sigCmpx1[114].real, 0xFFF0,
sigCmpx1[114].imag, 0xFFF3,
sigCmpx1[115].real, 0xFFF0,
sigCmpx1[115].imag, 0xFFE8,
sigCmpx1[116].real, 0xFFEF,
sigCmpx1[116].imag, 0xFFF3,
sigCmpx1[117].real, 0xFFF0,
sigCmpx1[117].imag, 0xFFE8,
sigCmpx1[118].real, 0xFFF0,
sigCmpx1[118].imag, 0xFFF4,
sigCmpx1[119].real, 0xFFF0,
sigCmpx1[119].imag, 0xFFE8,
sigCmpx1[120].real, 0xFFEF,
sigCmpx1[120].imag, 0xFFF4,
sigCmpx1[121].real, 0xFFEF,
sigCmpx1[121].imag, 0xFFE9,
sigCmpx1[122].real, 0xFFF0,
sigCmpx1[122].imag, 0xFFF4,
sigCmpx1[123].real, 0xFFEE,
sigCmpx1[123].imag, 0xFFEA,
sigCmpx1[124].real, 0xFFF0,
sigCmpx1[124].imag, 0xFFF4,
sigCmpx1[125].real, 0xFFEE,
sigCmpx1[125].imag, 0xFFEA,
sigCmpx1[126].real, 0xFFF0,
sigCmpx1[126].imag, 0xFFF5,
sigCmpx1[127].real, 0xFFEF,
sigCmpx1[127].imag, 0xFFEB,
sigCmpx1[128].real, 0xFFF1,
sigCmpx1[128].imag, 0xFFF5,
sigCmpx1[129].real, 0xFFEE,
sigCmpx1[129].imag, 0xFFEB,
sigCmpx1[130].real, 0xFFF1,
sigCmpx1[130].imag, 0xFFF5,
sigCmpx1[131].real, 0xFFEF,
sigCmpx1[131].imag, 0xFFEC,
sigCmpx1[132].real, 0xFFF1,
sigCmpx1[132].imag, 0xFFF6,
sigCmpx1[133].real, 0xFFEE,
sigCmpx1[133].imag, 0xFFEC,
sigCmpx1[134].real, 0xFFF2,
sigCmpx1[134].imag, 0xFFF6,
sigCmpx1[135].real, 0xFFEF,
sigCmpx1[135].imag, 0xFFED,
sigCmpx1[136].real, 0xFFF0,
sigCmpx1[136].imag, 0xFFF6,
sigCmpx1[137].real, 0xFFEF,
sigCmpx1[137].imag, 0xFFEE,
sigCmpx1[138].real, 0xFFF2,
sigCmpx1[138].imag, 0xFFF6,
sigCmpx1[139].real, 0xFFEE,
sigCmpx1[139].imag, 0xFFEE,
sigCmpx1[140].real, 0xFFF1,
sigCmpx1[140].imag, 0xFFF6,
sigCmpx1[141].real, 0xFFEE,
sigCmpx1[141].imag, 0xFFEE,
sigCmpx1[142].real, 0xFFF2,
sigCmpx1[142].imag, 0xFFF7,
sigCmpx1[143].real, 0xFFEE,
sigCmpx1[143].imag, 0xFFEF,
sigCmpx1[144].real, 0xFFF2,
sigCmpx1[144].imag, 0xFFF7,
