sigCmpx[79].real, 0xFFD0,
sigCmpx[79].imag, 0xFFF1,
sigCmpx[80].real, 0xFFD0,
sigCmpx[80].imag, 0xFFF1,
sigCmpx[81].real, 0xFFD0,
sigCmpx[81].imag, 0xFFF2,
sigCmpx[82].real, 0xFFD0,
sigCmpx[82].imag, 0xFFF2,
sigCmpx[83].real, 0xFFD0,
sigCmpx[83].imag, 0xFFF2,
sigCmpx[84].real, 0xFFD0,
sigCmpx[84].imag, 0xFFF3,
sigCmpx[85].real, 0xFFD1,
sigCmpx[85].imag, 0xFFF4,
sigCmpx[86].real, 0xFFD0,
sigCmpx[86].imag, 0xFFF4,
sigCmpx[87].real, 0xFFD1,
sigCmpx[87].imag, 0xFFF4,
sigCmpx[88].real, 0xFFD0,
sigCmpx[88].imag, 0xFFF4,
sigCmpx[89].real, 0xFFD1,
sigCmpx[89].imag, 0xFFF4,
sigCmpx[90].real, 0xFFD2,
sigCmpx[90].imag, 0xFFF6,
sigCmpx[91].real, 0xFFD2,
sigCmpx[91].imag, 0xFFF5,
sigCmpx[92].real, 0xFFD1,
sigCmpx[92].imag, 0xFFF6,
sigCmpx[93].real, 0xFFD2,
sigCmpx[93].imag, 0xFFF6,
sigCmpx[94].real, 0xFFD2,
sigCmpx[94].imag, 0xFFF6,
sigCmpx[95].real, 0xFFD2,
sigCmpx[95].imag, 0xFFF6,
sigCmpx[96].real, 0xFFD2,
sigCmpx[96].imag, 0xFFF7,
sigCmpx[97].real, 0xFFD2,
sigCmpx[97].imag, 0xFFF7,
sigCmpx[98].real, 0xFFD2,
sigCmpx[98].imag, 0xFFF8,
sigCmpx[99].real, 0xFFD2,
sigCmpx[99].imag, 0xFFF8,
sigCmpx[100].real, 0xFFD2,
sigCmpx[100].imag, 0xFFF8,
sigCmpx[101].real, 0xFFD2,
sigCmpx[101].imag, 0xFFF8,
sigCmpx[102].real, 0xFFD2,
sigCmpx[102].imag, 0xFFF8,
sigCmpx[103].real, 0xFFD2,
sigCmpx[103].imag, 0xFFF9,
sigCmpx[104].real, 0xFFD2,
sigCmpx[104].imag, 0xFFFA,
sigCmpx[105].real, 0xFFD2,
sigCmpx[105].imag, 0xFFFA,
sigCmpx[106].real, 0xFFD2,
sigCmpx[106].imag, 0xFFFA,
sigCmpx[107].real, 0xFFD2,
sigCmpx[107].imag, 0xFFFA,
sigCmpx[108].real, 0xFFD2,
sigCmpx[108].imag, 0xFFFA,
sigCmpx[109].real, 0xFFD2,
sigCmpx[109].imag, 0xFFFA,
sigCmpx[110].real, 0xFFD2,
sigCmpx[110].imag, 0xFFFB,
sigCmpx[111].real, 0xFFD2,
sigCmpx[111].imag, 0xFFFC,
sigCmpx[112].real, 0xFFD2,
sigCmpx[112].imag, 0xFFFC,
sigCmpx[113].real, 0xFFD3,
sigCmpx[113].imag, 0xFFFC,
sigCmpx[114].real, 0xFFD2,
sigCmpx[114].imag, 0xFFFC,
sigCmpx[115].real, 0xFFD2,
sigCmpx[115].imag, 0xFFFC,
sigCmpx[116].real, 0xFFD3,
sigCmpx[116].imag, 0xFFFC,
sigCmpx[117].real, 0xFFD3,
sigCmpx[117].imag, 0xFFFC,
sigCmpx[118].real, 0xFFD2,
sigCmpx[118].imag, 0xFFFD,
sigCmpx[119].real, 0xFFD2,
sigCmpx[119].imag, 0xFFFE,
sigCmpx[120].real, 0xFFD2,
sigCmpx[120].imag, 0xFFFE,
sigCmpx[121].real, 0xFFD2,
sigCmpx[121].imag, 0xFFFE,
sigCmpx[122].real, 0xFFD2,
sigCmpx[122].imag, 0xFFFF,
sigCmpx[123].real, 0xFFD2,
sigCmpx[123].imag, 0xFFFF,
sigCmpx[124].real, 0xFFD2,
sigCmpx[124].imag, 0x0000,
sigCmpx[125].real, 0xFFD2,
sigCmpx[125].imag, 0x0000,
sigCmpx[126].real, 0xFFD2,
sigCmpx[126].imag, 0x0000,
sigCmpx[127].real, 0xFFD2,
sigCmpx[127].imag, 0x0000,
sigCmpx[128].real, 0xFFD3,
sigCmpx[128].imag, 0x0000,
sigCmpx[129].real, 0xFFD2,
sigCmpx[129].imag, 0x0000,
sigCmpx[130].real, 0xFFD3,
sigCmpx[130].imag, 0x0000,
sigCmpx[131].real, 0xFFD2,
sigCmpx[131].imag, 0x0000,
sigCmpx[132].real, 0xFFD2,
sigCmpx[132].imag, 0x0001,
sigCmpx[133].real, 0xFFD3,
sigCmpx[133].imag, 0x0001,
sigCmpx[134].real, 0xFFD3,
sigCmpx[134].imag, 0x0001,
sigCmpx[135].real, 0xFFD3,
sigCmpx[135].imag, 0x0002,
sigCmpx[136].real, 0xFFD2,
sigCmpx[136].imag, 0x0002,
sigCmpx[137].real, 0xFFD2,
sigCmpx[137].imag, 0x0002,
sigCmpx[138].real, 0xFFD3,
sigCmpx[138].imag, 0x0002,
sigCmpx[139].real, 0xFFD3,
sigCmpx[139].imag, 0x0003,
sigCmpx[140].real, 0xFFD2,
sigCmpx[140].imag, 0x0003,
sigCmpx[141].real, 0xFFD2,
sigCmpx[141].imag, 0x0003,
sigCmpx[142].real, 0xFFD2,
sigCmpx[142].imag, 0x0003,
sigCmpx[143].real, 0xFFD2,
sigCmpx[143].imag, 0x0003,
sigCmpx[144].real, 0xFFD2,
sigCmpx[144].imag, 0x0004,
sigCmpx[145].real, 0xFFD2,
sigCmpx[145].imag, 0x0004,
sigCmpx[146].real, 0xFFD2,
sigCmpx[146].imag, 0x0005,
sigCmpx[147].real, 0xFFD3,
sigCmpx[147].imag, 0x0004,
sigCmpx[148].real, 0xFFD3,
sigCmpx[148].imag, 0x0005,
sigCmpx[149].real, 0xFFD2,
sigCmpx[149].imag, 0x0006,
sigCmpx[150].real, 0xFFD3,
sigCmpx[150].imag, 0x0006,
sigCmpx[151].real, 0xFFD2,
sigCmpx[151].imag, 0x0006,
sigCmpx[152].real, 0xFFD2,
sigCmpx[152].imag, 0x0006,
sigCmpx[153].real, 0xFFD2,
sigCmpx[153].imag, 0x0007,
sigCmpx[154].real, 0xFFD2,
sigCmpx[154].imag, 0x0007,
sigCmpx[155].real, 0xFFD2,
sigCmpx[155].imag, 0x0007,
sigCmpx[156].real, 0xFFD2,
sigCmpx[156].imag, 0x0007,
sigCmpx[157].real, 0xFFD2,
sigCmpx[157].imag, 0x0008,
sigCmpx[158].real, 0xFFD1,
sigCmpx[158].imag, 0x0008,
sigCmpx[159].real, 0xFFD2,
sigCmpx[159].imag, 0x0009,
sigCmpx[160].real, 0xFFD2,
sigCmpx[160].imag, 0x0009,
sigCmpx[161].real, 0xFFD1,
sigCmpx[161].imag, 0x0009,
sigCmpx[162].real, 0xFFD2,
sigCmpx[162].imag, 0x0009,
sigCmpx[163].real, 0xFFD1,
sigCmpx[163].imag, 0x0009,
sigCmpx[164].real, 0xFFD1,
sigCmpx[164].imag, 0x000A,
sigCmpx[165].real, 0xFFD2,
sigCmpx[165].imag, 0x000B,
sigCmpx[166].real, 0xFFD1,
sigCmpx[166].imag, 0x000B,
sigCmpx[167].real, 0xFFD1,
sigCmpx[167].imag, 0x000B,
sigCmpx[168].real, 0xFFD1,
sigCmpx[168].imag, 0x000B,
sigCmpx[169].real, 0xFFD1,
sigCmpx[169].imag, 0x000C,
sigCmpx[170].real, 0xFFD1,
sigCmpx[170].imag, 0x000C,
sigCmpx[171].real, 0xFFD1,
sigCmpx[171].imag, 0x000D,
sigCmpx[172].real, 0xFFD0,
sigCmpx[172].imag, 0x000D,
sigCmpx[173].real, 0xFFD1,
sigCmpx[173].imag, 0x000D,
sigCmpx[174].real, 0xFFD0,
sigCmpx[174].imag, 0x000D,
sigCmpx[175].real, 0xFFD0,
sigCmpx[175].imag, 0x000D,
sigCmpx[176].real, 0xFFD1,
sigCmpx[176].imag, 0x000E,
sigCmpx[177].real, 0xFFD0,
sigCmpx[177].imag, 0x000E,
sigCmpx[178].real, 0xFFD0,
sigCmpx[178].imag, 0x000F,
sigCmpx[179].real, 0xFFD0,
sigCmpx[179].imag, 0x0010,
sigCmpx[180].real, 0xFFD0,
sigCmpx[180].imag, 0x0010,
sigCmpx[181].real, 0xFFD0,
sigCmpx[181].imag, 0x0011,
sigCmpx[182].real, 0xFFD0,
sigCmpx[182].imag, 0x0011,
sigCmpx[183].real, 0xFFCF,
sigCmpx[183].imag, 0x0011,
sigCmpx[184].real, 0xFFCF,
sigCmpx[184].imag, 0x0011,
sigCmpx[185].real, 0xFFCF,
sigCmpx[185].imag, 0x0012,
sigCmpx[186].real, 0xFFCF,
sigCmpx[186].imag, 0x0013,
sigCmpx[187].real, 0xFFCE,
sigCmpx[187].imag, 0x0013,
sigCmpx[188].real, 0xFFCE,
sigCmpx[188].imag, 0x0014,
sigCmpx[189].real, 0xFFCE,
sigCmpx[189].imag, 0x0014,
sigCmpx[190].real, 0xFFCE,
sigCmpx[190].imag, 0x0015,
sigCmpx[191].real, 0xFFCD,
sigCmpx[191].imag, 0x0015,
sigCmpx[192].real, 0xFFCE,
sigCmpx[192].imag, 0x0016,
sigCmpx[193].real, 0xFFCD,
sigCmpx[193].imag, 0x0016,
sigCmpx[194].real, 0xFFCE,
sigCmpx[194].imag, 0x0017,
sigCmpx[195].real, 0xFFCC,
sigCmpx[195].imag, 0x0017,
sigCmpx[196].real, 0xFFCC,
sigCmpx[196].imag, 0x0018,
sigCmpx[197].real, 0xFFCC,
sigCmpx[197].imag, 0x0018,
sigCmpx[198].real, 0xFFCC,
sigCmpx[198].imag, 0x0019,
sigCmpx[199].real, 0xFFCB,
sigCmpx[199].imag, 0x001A,
sigCmpx[200].real, 0xFFCB,
